Loyalty Number,Persona,CLV,Churn_Probability,Retention_Action,Flights_Last_12M,Recency_Flights,Net_Points_History,Tenure_Months,BDS_Score,Churn_Target,Churn_Type
480934,Active Leisure,3839.14,0.021612588,Seasonal Flight Promos & Partner Hotel Deals,19,1.0197368421052633,30770.0,28,0.12742902102584705,0,Active
549612,Active Leisure,3839.61,0.032665785,Seasonal Flight Promos & Partner Hotel Deals,26,1.0197368421052633,51339.0,27,0.0790844298245614,0,Active
608370,Loyal Champions,3839.75,0.95136464,Milestone Reward Points & Elite Tier Appreciation Gift,15,1.0197368421052633,37864.0,64,0.4561768224168029,0,Active
530508,Loyal Champions,3842.79,0.0203794,VIP Lounge Access & Exclusive Partner Perks,11,1.0197368421052633,24477.0,44,0.42384204738754516,0,Active
193662,Active Leisure,3844.57,0.002221381,Seasonal Flight Promos & Partner Hotel Deals,56,1.0197368421052633,112161.0,73,0.13972438003154072,0,Active
927943,Active Leisure,3857.95,0.027013896,Seasonal Flight Promos & Partner Hotel Deals,20,1.0197368421052633,34110.0,48,0.054824561403508776,0,Active
188893,Active Leisure,3861.49,0.028171318,Seasonal Flight Promos & Partner Hotel Deals,17,2.0065789473684212,51006.0,18,0.08278508771929824,0,Active
852392,Loyal Champions,3861.49,0.03647308,VIP Lounge Access & Exclusive Partner Perks,10,2.0065789473684212,46189.0,37,0.10827850877192982,0,Active
866307,Loyal Champions,3861.49,0.019031728,VIP Lounge Access & Exclusive Partner Perks,15,1.0197368421052633,32145.0,20,0.11772000376275811,0,Active
932823,Active Leisure,3863.31,0.03465398,Seasonal Flight Promos & Partner Hotel Deals,31,1.0197368421052633,64072.0,39,0.17569860413256944,0,Active
144514,Active Leisure,3864.78,0.03715279,Seasonal Flight Promos & Partner Hotel Deals,19,1.0197368421052633,33664.0,24,0.054824561403508776,0,Active
611765,Loyal Champions,3867.97,0.087321274,VIP Lounge Access & Exclusive Partner Perks,10,1.0197368421052633,15756.0,5,0.3169956140350877,0,Active
988178,Active Leisure,3871.07,0.027734969,Seasonal Flight Promos & Partner Hotel Deals,33,1.0197368421052633,69652.0,56,0.16707785087719298,0,Active
286114,Loyal Champions,3872.22,0.036159374,VIP Lounge Access & Exclusive Partner Perks,11,5.986842105263158,17681.0,19,0.46186951754385963,0,Active
205785,Active Leisure,3873.65,0.021153178,Seasonal Flight Promos & Partner Hotel Deals,24,2.0065789473684212,43252.0,22,0.3385944411026438,0,Active
735304,Loyal Champions,3873.65,0.03163413,VIP Lounge Access & Exclusive Partner Perks,14,1.0197368421052633,28024.0,18,0.19216008771929827,0,Active
438936,Active Leisure,3878.77,0.022897175,Seasonal Flight Promos & Partner Hotel Deals,25,2.0065789473684212,43211.0,56,0.2826594821208773,0,Active
172755,Loyal Champions,5303.76,0.17435403,VIP Lounge Access & Exclusive Partner Perks,13,1.0197368421052633,17217.0,3,0.3169956140350877,0,Active
413741,Active Leisure,3885.46,0.025777966,Seasonal Flight Promos & Partner Hotel Deals,22,1.0197368421052633,48963.0,35,0.19190103557705357,0,Active
642313,Active Leisure,3885.46,0.029932095,Seasonal Flight Promos & Partner Hotel Deals,19,1.0197368421052633,35128.0,27,0.10416666666666666,0,Active
263080,Loyal Champions,3886.5,0.028125044,VIP Lounge Access & Exclusive Partner Perks,13,1.0197368421052633,28535.0,49,0.042077850877192985,0,Active
109767,Active Leisure,3886.65,0.03057499,Seasonal Flight Promos & Partner Hotel Deals,23,1.0197368421052633,47238.0,25,0.042077850877192985,0,Active
217754,Loyal Champions,3887.32,0.9859343,Milestone Reward Points & Elite Tier Appreciation Gift,14,4.967105263157895,35068.0,36,0.6827850877192982,1,Soft Churn
157005,Active Leisure,3890.87,0.027567292,Seasonal Flight Promos & Partner Hotel Deals,18,1.0197368421052633,43570.0,20,0.5106156749396329,0,Active
557752,Loyal Champions,3890.87,0.07182757,VIP Lounge Access & Exclusive Partner Perks,11,1.0197368421052633,16326.0,8,0.044081858349960146,0,Active
